empleados_id,satisfaccion,evaluacion,numero_proyecto,horas_mensuales,antiguedad_empresa,accidentes,promocionado,departamento,nivel_salario,abandono
38,0.45,0.5,2,126,3,0,0,tecnico,bajo,Si
39,0.11,0.89,6,306,4,0,0,tecnico,bajo,Si
40,0.41,0.54,2,152,3,0,0,tecnico,bajo,Si
41,0.87,0.88,5,269,5,0,0,tecnico,bajo,Si
42,0.45,0.48,2,158,3,0,0,tecnico,bajo,Si
43,0.4,0.46,2,127,3,0,0,tecnico,bajo,Si
44,0.1,0.8,7,281,4,0,0,tecnico,bajo,Si
45,0.09,0.89,6,276,4,0,0,tecnico,bajo,Si
46,0.84,0.74,3,182,4,0,0,tecnico,bajo,Si
47,0.4,0.55,2,147,3,0,0,soporte,bajo,Si
48,0.57,0.7,3,273,6,0,0,soporte,bajo,Si
49,0.4,0.54,2,148,3,0,0,soporte,bajo,Si
50,0.43,0.47,2,147,3,0,0,soporte,bajo,Si
51,0.13,0.78,6,152,2,0,0,soporte,bajo,Si
52,0.44,0.55,2,135,3,0,0,soporte,bajo,Si
53,0.38,0.55,2,134,3,0,0,soporte,bajo,Si
54,0.39,0.54,2,132,3,0,0,soporte,bajo,Si
55,0.1,0.92,7,307,4,0,0,soporte,bajo,Si
56,0.37,0.46,2,140,3,0,0,soporte,bajo,Si
57,0.11,0.94,7,255,4,0,0,soporte,bajo,Si
58,0.1,0.81,6,309,4,0,0,tecnico,bajo,Si
59,0.38,0.54,2,128,3,0,0,tecnico,bajo,Si
60,0.85,1,4,225,5,0,0,tecnico,bajo,Si
61,0.85,0.91,5,226,5,0,0,gerencia,intermedio,Si
62,0.11,0.93,7,308,4,0,0,IT,intermedio,Si
63,0.1,0.95,6,244,5,0,0,IT,intermedio,Si
64,0.36,0.56,2,132,3,0,0,IT,intermedio,Si
65,0.11,0.94,6,286,4,0,0,IT,intermedio,Si
66,0.81,0.7,6,161,4,0,0,IT,intermedio,Si
67,0.43,0.54,2,153,3,0,0,producto,intermedio,Si
68,0.9,0.98,4,264,6,0,0,producto,intermedio,Si
69,0.76,0.86,5,223,5,1,0,producto,intermedio,Si
70,0.43,0.5,2,135,3,0,0,producto,intermedio,Si
71,0.74,0.99,2,277,3,0,0,IT,intermedio,Si
72,0.09,0.77,5,275,4,0,0,producto,intermedio,Si
73,0.45,0.49,2,149,3,0,0,producto,alto,Si
74,0.09,0.87,7,295,4,0,0,producto,bajo,Si
75,0.11,0.97,6,277,4,0,0,producto,intermedio,Si
76,0.11,0.79,7,306,4,0,0,producto,intermedio,Si
77,0.1,0.83,6,295,4,0,0,producto,intermedio,Si
78,0.4,0.54,2,137,3,0,0,marketing,intermedio,Si
79,0.43,0.56,2,157,3,0,0,ventas,bajo,Si
80,0.39,0.56,2,142,3,0,0,contabilidad,bajo,Si
81,0.45,0.54,2,140,3,0,0,soporte,bajo,Si
82,0.38,0.49,2,151,3,0,0,tecnico,bajo,Si
83,0.79,0.59,4,139,3,0,1,gerencia,bajo,Si
84,0.84,0.85,4,249,6,0,0,marketing,bajo,Si
85,0.11,0.77,6,291,4,0,0,marketing,bajo,Si
86,0.11,0.87,6,305,4,0,0,marketing,bajo,Si
87,0.17,0.84,5,232,3,0,0,ventas,bajo,Si
88,0.44,0.45,2,132,3,0,0,ventas,bajo,Si
89,0.37,0.57,2,130,3,0,0,ventas,bajo,Si
90,0.1,0.79,6,291,4,0,0,ventas,bajo,Si
91,0.4,0.5,2,130,3,0,0,ventas,bajo,Si
92,0.89,1,5,246,5,0,0,ventas,bajo,Si
93,0.42,0.48,2,143,3,0,0,ventas,bajo,Si
94,0.46,0.55,2,129,3,0,0,ventas,bajo,Si
95,0.09,0.83,6,255,4,0,0,ventas,bajo,Si
96,0.37,0.51,2,155,3,0,0,ventas,bajo,Si
97,0.1,0.77,6,265,4,0,0,ventas,bajo,Si
98,0.1,0.84,6,279,4,0,0,ventas,bajo,Si
99,0.11,0.97,6,284,4,0,0,ventas,bajo,Si
100,0.9,1,5,221,6,0,0,ventas,intermedio,Si
101,0.38,0.52,2,154,3,0,0,ventas,intermedio,Si
102,0.36,0.52,2,147,3,0,0,ventas,intermedio,Si
103,0.42,0.46,2,150,3,0,0,ventas,intermedio,Si
104,0.09,0.94,7,267,4,0,0,ventas,intermedio,Si
105,0.43,0.52,2,158,3,0,0,ventas,intermedio,Si
106,0.24,0.46,7,224,5,0,0,contabilidad,intermedio,Si
107,0.91,1,4,257,5,0,0,contabilidad,intermedio,Si
108,0.44,0.5,2,148,3,0,0,contabilidad,intermedio,Si
109,0.71,0.87,3,177,4,0,0,recursos_humanos,intermedio,Si
110,0.4,0.49,2,155,3,0,0,recursos_humanos,intermedio,Si
111,0.43,0.47,2,144,3,0,0,recursos_humanos,intermedio,Si
112,0.09,0.85,6,289,4,0,0,recursos_humanos,alto,Si
113,0.43,0.52,2,160,3,0,0,tecnico,bajo,Si
114,0.9,0.96,4,258,5,0,0,tecnico,intermedio,Si
115,0.84,1,5,234,5,0,0,tecnico,intermedio,Si
116,0.37,0.48,2,137,3,0,0,tecnico,intermedio,Si
117,0.86,0.68,5,263,2,0,0,tecnico,intermedio,Si
118,0.11,0.84,6,251,4,0,0,tecnico,bajo,Si
119,0.37,0.57,2,133,3,0,0,tecnico,bajo,Si
120,0.4,0.46,2,132,3,0,0,tecnico,bajo,Si
121,0.14,0.62,4,158,4,1,0,tecnico,bajo,Si
122,0.4,0.46,2,135,3,0,0,tecnico,bajo,Si
123,0.75,1,4,216,6,0,0,tecnico,bajo,Si
124,0.11,0.84,6,300,5,1,0,soporte,bajo,Si
125,0.46,0.49,2,138,3,0,0,soporte,bajo,Si
126,0.11,0.92,6,260,4,0,0,soporte,bajo,Si
127,0.38,0.49,2,132,3,0,0,soporte,bajo,Si
128,0.7,0.89,3,183,5,0,0,soporte,bajo,Si
129,0.09,0.82,6,250,4,0,0,soporte,bajo,Si
130,0.37,0.45,2,151,3,0,0,soporte,bajo,Si
131,0.1,0.83,6,292,4,0,0,soporte,bajo,Si
132,0.38,0.57,2,140,3,0,0,soporte,bajo,Si
133,0.9,1,5,221,5,0,0,soporte,bajo,Si
134,0.44,0.51,2,138,3,0,0,soporte,bajo,Si
135,0.36,0.5,2,132,3,0,0,tecnico,bajo,Si
136,0.31,0.84,7,133,5,0,0,tecnico,bajo,Si
137,0.1,0.84,6,283,4,1,0,tecnico,bajo,Si
138,0.42,0.48,2,129,3,0,0,gerencia,bajo,Si
139,0.74,1,4,249,5,0,0,IT,bajo,Si
140,0.73,0.87,5,257,5,0,0,IT,bajo,Si
141,0.09,0.96,6,245,4,0,0,IT,bajo,Si
142,0.45,0.53,2,155,3,0,0,IT,bajo,Si
143,0.11,0.8,6,256,4,0,0,IT,bajo,Si
144,0.37,0.47,2,152,3,0,0,producto,bajo,Si
145,0.84,0.99,4,267,5,0,0,producto,bajo,Si
146,0.41,0.46,2,151,3,0,0,producto,bajo,Si
147,0.76,0.92,4,239,5,0,0,producto,bajo,Si
148,0.11,0.87,6,306,4,0,0,IT,bajo,Si
149,0.84,0.88,4,263,5,1,0,marketing,bajo,Si
150,0.39,0.5,2,147,3,0,0,marketing,bajo,Si
151,0.11,0.91,6,278,4,0,0,marketing,bajo,Si
152,0.45,0.56,2,154,3,0,0,marketing,bajo,Si
153,0.37,0.52,2,143,3,0,0,marketing,bajo,Si
154,0.4,0.52,2,155,3,0,0,marketing,bajo,Si
155,0.39,0.48,2,160,3,0,0,ventas,bajo,Si
156,0.11,0.8,6,304,4,0,0,contabilidad,bajo,Si
157,0.83,1,5,240,5,0,0,soporte,bajo,Si
158,0.11,0.92,6,305,4,0,0,tecnico,bajo,Si
159,0.39,0.5,2,136,3,0,0,gerencia,bajo,Si
160,0.45,0.45,2,132,3,0,0,marketing,bajo,Si
161,0.1,0.95,7,301,4,0,0,marketing,bajo,Si
162,0.9,0.98,5,243,6,0,0,marketing,bajo,Si
163,0.45,0.51,2,147,3,0,0,ventas,bajo,Si
164,0.79,0.89,5,239,5,0,0,ventas,bajo,Si
165,0.9,0.99,5,260,5,0,0,ventas,bajo,Si
166,0.11,0.84,7,296,4,0,0,ventas,bajo,Si
167,0.43,0.55,2,129,3,0,0,ventas,bajo,Si
168,0.31,0.54,5,132,5,0,0,ventas,bajo,Si
169,0.32,0.5,2,135,5,0,0,ventas,bajo,Si
170,0.45,0.57,2,158,3,0,0,ventas,bajo,Si
171,0.81,0.99,4,259,5,0,0,ventas,bajo,Si
172,0.41,0.46,2,160,3,0,1,ventas,bajo,Si
173,0.11,0.78,7,278,4,0,0,ventas,bajo,Si
174,0.1,0.88,6,284,4,0,0,ventas,bajo,Si
175,0.7,0.53,2,274,4,0,0,ventas,bajo,Si
176,0.54,0.74,4,164,2,0,0,ventas,bajo,Si
177,0.41,0.48,2,148,3,0,0,ventas,bajo,Si
178,0.38,0.5,2,140,3,0,0,ventas,intermedio,Si
179,0.37,0.51,2,127,3,0,0,ventas,intermedio,Si
180,0.11,0.85,6,308,5,0,0,ventas,intermedio,Si
181,0.4,0.47,2,146,3,0,0,ventas,intermedio,Si
182,0.1,0.84,6,261,4,0,0,contabilidad,intermedio,Si
183,0.89,0.99,5,257,5,0,0,contabilidad,intermedio,Si
184,0.11,0.8,6,285,4,0,0,contabilidad,intermedio,Si
185,0.36,0.55,2,141,3,0,0,recursos_humanos,intermedio,Si
186,0.4,0.46,2,127,3,0,0,recursos_humanos,intermedio,Si
187,0.09,0.85,6,297,4,0,0,recursos_humanos,intermedio,Si
188,0.4,0.46,2,143,3,0,0,recursos_humanos,intermedio,Si
189,0.37,0.55,2,152,3,0,0,tecnico,intermedio,Si
190,0.44,0.51,2,156,3,0,0,tecnico,alto,Si
191,0.09,0.8,7,283,5,0,0,tecnico,bajo,Si
192,0.92,0.87,4,226,6,1,0,tecnico,intermedio,Si
193,0.74,0.91,4,232,5,0,0,tecnico,intermedio,Si
194,0.09,0.82,6,249,4,0,0,tecnico,intermedio,Si
195,0.89,0.95,4,275,5,0,0,tecnico,intermedio,Si
196,0.09,0.8,6,304,4,0,0,tecnico,bajo,Si
197,0.27,0.54,7,278,3,0,0,tecnico,bajo,Si
198,0.1,0.91,6,287,4,0,0,tecnico,bajo,Si
199,0.1,0.89,7,285,4,0,0,tecnico,bajo,Si
200,0.77,0.94,5,226,6,0,0,soporte,bajo,Si
201,0.9,0.82,5,259,5,0,0,soporte,bajo,Si
202,0.39,0.5,2,135,3,0,0,soporte,bajo,Si
203,0.76,1,5,219,5,0,0,soporte,bajo,Si
204,0.1,0.93,6,256,4,0,0,soporte,bajo,Si
205,0.87,0.9,5,254,6,0,0,soporte,bajo,Si
206,0.38,0.5,2,153,3,0,0,soporte,bajo,Si
207,0.77,0.99,5,228,5,0,0,soporte,bajo,Si
208,0.78,0.87,4,228,5,0,0,soporte,bajo,Si
209,0.44,0.5,2,128,3,0,0,soporte,bajo,Si
210,0.38,0.52,2,153,3,0,0,soporte,bajo,Si
211,0.43,0.46,2,156,3,0,0,tecnico,bajo,Si
212,0.39,0.5,4,294,3,0,0,tecnico,bajo,Si
213,0.88,1,5,219,5,0,0,tecnico,bajo,Si
214,0.45,0.46,2,153,3,0,0,gerencia,bajo,Si
215,0.4,0.53,2,151,3,0,0,IT,bajo,Si
216,0.36,0.51,2,155,3,0,0,IT,bajo,Si
217,0.36,0.48,2,158,3,0,0,IT,bajo,Si
218,0.9,0.98,5,245,5,0,0,IT,bajo,Si
219,0.43,0.53,2,131,3,0,0,IT,bajo,Si
220,0.89,0.87,5,225,5,0,0,producto,bajo,Si
221,0.1,0.84,6,286,4,0,0,producto,bajo,Si
222,0.37,0.5,2,135,3,0,0,producto,bajo,Si
223,0.37,0.51,2,153,3,0,0,producto,bajo,Si
224,0.87,0.9,5,252,5,0,0,IT,bajo,Si
225,0.4,0.56,2,149,3,0,0,contabilidad,bajo,Si
226,0.9,0.97,4,258,5,0,0,contabilidad,bajo,Si
227,0.37,0.46,2,158,3,0,0,recursos_humanos,bajo,Si
228,0.44,0.54,2,149,3,0,0,recursos_humanos,bajo,Si
229,0.85,0.95,5,236,5,0,0,recursos_humanos,bajo,Si
230,0.78,0.98,5,239,6,0,0,marketing,bajo,Si
231,0.42,0.47,2,159,3,0,0,marketing,bajo,Si
232,0.92,0.99,5,255,6,0,0,ventas,bajo,Si
233,0.11,0.83,6,244,4,0,0,contabilidad,bajo,Si
234,0.42,0.56,2,134,3,0,0,soporte,bajo,Si
235,0.48,0.57,4,270,4,0,0,tecnico,bajo,Si
236,0.83,0.85,4,255,5,0,0,gerencia,bajo,Si
237,0.4,0.53,2,151,3,0,0,marketing,bajo,Si
238,0.43,0.45,2,135,3,0,0,marketing,bajo,Si
239,0.43,0.53,2,146,3,0,0,marketing,bajo,Si
240,0.1,0.97,7,254,4,0,0,ventas,bajo,Si
241,0.1,0.87,7,289,4,0,0,ventas,bajo,Si
242,0.37,0.46,2,156,3,0,0,ventas,bajo,Si
243,0.38,0.53,2,156,3,0,0,ventas,bajo,Si
244,0.4,0.5,2,128,3,0,0,ventas,bajo,Si
245,0.89,0.86,5,275,5,0,0,ventas,bajo,Si
246,0.45,0.46,2,155,3,0,0,ventas,bajo,Si
247,0.37,0.48,2,159,3,0,0,ventas,bajo,Si
248,0.46,0.49,2,148,3,0,0,ventas,bajo,Si
249,0.87,0.91,4,228,5,0,0,ventas,bajo,Si
250,0.11,0.84,6,298,4,0,0,ventas,bajo,Si
251,0.79,0.87,5,261,5,0,0,ventas,bajo,Si
252,0.79,0.92,5,254,6,0,0,ventas,bajo,Si
253,0.19,0.59,7,192,3,0,0,ventas,bajo,Si
254,0.87,0.98,4,248,5,0,0,ventas,bajo,Si
255,0.6,0.92,2,258,5,0,0,ventas,bajo,Si
256,0.44,0.45,2,156,3,0,0,ventas,intermedio,Si
257,0.11,0.81,6,266,4,1,0,ventas,intermedio,Si
258,0.42,0.54,2,156,3,0,0,ventas,intermedio,Si
259,0.88,0.88,5,232,5,1,0,contabilidad,intermedio,Si
260,0.11,0.84,6,287,4,0,0,contabilidad,intermedio,Si
261,0.46,0.46,2,154,3,0,0,contabilidad,intermedio,Si
262,0.82,0.97,5,263,5,0,0,recursos_humanos,intermedio,Si
263,0.44,0.56,2,131,3,0,0,recursos_humanos,intermedio,Si
264,0.11,0.78,6,260,4,0,0,recursos_humanos,intermedio,Si
265,0.42,0.5,2,139,3,0,0,recursos_humanos,intermedio,Si
266,0.84,0.93,4,251,5,0,0,tecnico,intermedio,Si
267,0.11,0.95,6,286,4,0,0,tecnico,intermedio,Si
268,0.45,0.53,2,129,3,0,0,tecnico,alto,Si
269,0.38,0.56,2,156,3,0,0,tecnico,bajo,Si
270,0.38,0.86,6,139,6,0,0,tecnico,intermedio,Si
271,0.44,0.51,2,127,3,0,0,tecnico,intermedio,Si
272,0.11,0.84,6,251,4,0,0,tecnico,intermedio,Si
273,0.81,0.93,5,270,5,0,0,tecnico,intermedio,Si
274,0.09,0.96,6,296,4,0,0,tecnico,bajo,Si
275,0.11,0.9,6,254,4,0,0,tecnico,bajo,Si
276,0.81,0.95,5,238,6,0,0,tecnico,bajo,Si
277,0.1,0.97,6,267,4,1,0,soporte,bajo,Si
278,0.74,0.89,5,229,6,0,0,soporte,bajo,Si
279,0.09,0.78,6,254,4,0,0,soporte,bajo,Si
280,0.82,0.81,4,233,4,1,0,soporte,bajo,Si
281,0.1,0.98,6,268,4,0,0,soporte,bajo,Si
282,0.27,0.56,3,301,3,0,0,soporte,bajo,Si
283,0.83,0.92,5,267,6,0,0,soporte,bajo,Si
284,0.1,0.93,6,289,4,1,0,soporte,bajo,Si
285,0.38,0.47,2,144,3,0,0,soporte,bajo,Si
286,0.4,0.56,2,148,3,0,0,soporte,bajo,Si
287,0.11,0.83,6,306,4,0,0,soporte,bajo,Si
288,0.11,0.79,6,292,4,0,1,tecnico,bajo,Si
289,0.82,0.91,5,232,5,0,0,tecnico,bajo,Si
290,0.36,0.48,2,137,3,0,0,tecnico,bajo,Si
291,0.4,0.46,2,128,3,0,0,gerencia,bajo,Si
292,0.87,0.84,5,231,5,0,0,IT,bajo,Si
293,0.41,0.49,2,146,3,0,0,IT,bajo,Si
294,0.11,0.91,6,308,4,1,0,IT,bajo,Si
295,0.1,0.93,6,253,4,0,0,IT,intermedio,Si
296,0.38,0.51,2,146,3,0,0,IT,intermedio,Si
297,0.39,0.55,2,156,3,0,0,producto,intermedio,Si
298,0.4,0.52,2,147,3,0,0,producto,intermedio,Si
299,0.45,0.48,2,136,3,0,0,producto,intermedio,Si
300,0.74,0.84,5,249,5,0,0,producto,intermedio,Si
301,0.45,0.55,2,151,3,0,0,IT,intermedio,Si
302,0.12,1,3,278,4,0,0,laboratorio,intermedio,Si
303,0.1,0.77,7,250,5,0,0,laboratorio,intermedio,Si
304,0.37,0.55,2,127,3,0,0,laboratorio,intermedio,Si
305,0.89,0.87,5,255,5,0,0,laboratorio,intermedio,Si
306,0.45,0.47,2,135,3,0,0,laboratorio,intermedio,Si
307,0.37,0.46,2,149,3,0,0,marketing,alto,Si
308,0.11,0.81,5,287,4,0,0,ventas,bajo,Si
309,0.41,0.48,2,145,3,0,0,contabilidad,intermedio,Si
310,0.1,0.94,6,285,4,0,0,soporte,intermedio,Si
311,0.1,0.93,7,305,4,0,0,tecnico,intermedio,Si
312,0.11,0.95,7,300,4,0,0,gerencia,intermedio,Si
313,0.4,0.54,2,139,3,0,0,marketing,bajo,Si
314,0.41,0.49,2,130,3,0,0,marketing,bajo,Si
315,0.1,0.81,6,268,4,0,0,marketing,bajo,Si
316,0.73,0.86,4,245,6,0,0,ventas,bajo,Si
317,0.43,0.47,2,135,3,0,0,ventas,bajo,Si
318,0.37,0.46,2,153,3,0,0,ventas,bajo,Si
319,0.11,0.94,6,276,4,0,0,ventas,bajo,Si
320,0.4,0.46,2,130,3,0,0,ventas,bajo,Si
321,0.41,0.54,2,153,3,1,0,ventas,bajo,Si
322,0.82,0.84,5,244,5,0,0,ventas,bajo,Si
323,0.61,0.47,2,253,3,0,0,ventas,bajo,Si
324,0.11,0.91,7,287,4,0,0,ventas,bajo,Si
325,0.37,0.45,2,131,3,0,0,ventas,bajo,Si
326,0.41,0.52,2,135,3,0,0,ventas,bajo,Si
327,0.37,0.52,2,157,3,0,0,ventas,bajo,Si
328,0.88,0.99,5,262,6,0,0,ventas,bajo,Si
329,0.1,0.85,6,266,4,0,0,ventas,bajo,Si
330,0.44,0.48,2,148,3,0,0,ventas,bajo,Si
331,0.38,0.57,2,140,3,0,0,ventas,bajo,Si
332,0.11,0.85,7,302,4,0,0,ventas,bajo,Si
333,0.09,0.98,6,271,4,0,0,ventas,bajo,Si
334,0.45,0.52,2,145,3,0,0,ventas,intermedio,Si
335,0.1,0.81,6,290,4,0,0,contabilidad,intermedio,Si
336,0.45,0.47,2,151,3,0,0,contabilidad,intermedio,Si
337,0.77,0.87,5,266,5,0,0,contabilidad,intermedio,Si
338,0.44,0.51,2,140,3,0,0,recursos_humanos,intermedio,Si
339,0.39,0.5,2,142,3,0,0,recursos_humanos,intermedio,Si
340,0.1,0.91,6,246,4,0,0,recursos_humanos,intermedio,Si
341,0.09,0.89,7,308,5,0,0,recursos_humanos,intermedio,Si
342,0.37,0.47,2,141,3,0,0,tecnico,intermedio,Si
343,0.9,1,5,232,5,0,0,tecnico,intermedio,Si
344,0.41,0.56,2,143,3,0,0,tecnico,intermedio,Si
345,0.37,0.52,2,155,3,0,0,tecnico,intermedio,Si
346,0.1,0.86,6,278,4,0,0,tecnico,alto,Si
347,0.81,1,4,253,5,0,0,tecnico,bajo,Si
348,0.11,0.8,6,282,4,0,0,tecnico,intermedio,Si
349,0.11,0.84,7,264,4,0,0,tecnico,intermedio,Si
350,0.4,0.46,2,149,3,0,0,tecnico,intermedio,Si
351,0.09,0.8,6,304,5,0,0,tecnico,intermedio,Si
352,0.48,0.93,3,219,6,0,0,tecnico,bajo,Si
353,0.91,0.91,4,262,6,0,0,soporte,bajo,Si
354,0.43,0.57,2,135,3,0,0,soporte,bajo,Si
355,0.33,0.88,6,219,5,0,0,soporte,bajo,Si
356,0.41,0.57,2,136,3,0,0,soporte,bajo,Si
357,0.41,0.55,2,154,3,0,0,soporte,bajo,Si
358,0.37,0.54,2,149,3,0,0,soporte,bajo,Si
359,0.31,0.62,6,135,5,0,0,soporte,bajo,Si
360,0.09,0.91,6,275,4,0,0,soporte,bajo,Si
361,0.1,0.87,6,290,4,0,0,soporte,bajo,Si
362,0.76,0.9,4,263,5,0,0,soporte,bajo,Si
363,0.41,0.54,2,145,3,0,0,soporte,bajo,Si
364,0.72,0.96,5,267,5,0,0,tecnico,bajo,Si
365,0.4,0.5,2,141,3,1,0,tecnico,bajo,Si
366,0.91,0.87,4,235,5,0,0,tecnico,bajo,Si
367,0.1,0.83,6,258,4,0,0,gerencia,bajo,Si
368,0.4,0.56,2,131,3,0,0,IT,bajo,Si
369,0.82,0.86,5,243,5,0,0,IT,bajo,Si
370,0.1,0.82,6,266,4,0,0,IT,bajo,Si
371,0.37,0.45,2,142,3,0,0,IT,bajo,Si
372,0.36,0.51,2,135,3,0,0,IT,bajo,Si
373,0.39,0.48,2,141,3,0,0,producto,intermedio,Si
374,0.36,0.57,2,142,3,0,0,producto,intermedio,Si
375,0.86,0.84,5,254,5,0,0,producto,intermedio,Si
376,0.73,0.99,5,262,5,0,0,producto,intermedio,Si
377,0.56,0.71,4,296,2,0,0,IT,intermedio,Si
378,0.44,0.56,2,158,3,0,0,contabilidad,intermedio,Si
379,0.31,0.56,4,238,2,0,0,contabilidad,intermedio,Si
380,0.77,0.93,4,231,5,0,0,recursos_humanos,intermedio,Si
381,0.44,0.45,2,156,3,0,0,recursos_humanos,intermedio,Si
382,0.38,0.46,2,145,3,0,0,recursos_humanos,intermedio,Si
383,0.45,0.48,2,144,3,0,0,marketing,intermedio,Si
384,0.38,0.51,2,159,3,0,0,ventas,intermedio,Si
385,0.36,0.48,2,156,3,0,0,contabilidad,alto,Si
386,0.75,0.9,5,256,5,0,0,soporte,bajo,Si
387,0.1,0.93,6,298,4,0,0,tecnico,intermedio,Si
388,0.1,0.97,6,247,4,0,0,gerencia,intermedio,Si
389,0.45,0.5,2,157,3,0,0,marketing,intermedio,Si
390,0.42,0.57,2,154,3,1,0,marketing,intermedio,Si
391,0.78,1,4,253,5,0,0,marketing,bajo,Si
392,0.45,0.55,2,148,3,0,0,ventas,bajo,Si
393,0.84,1,4,261,5,0,0,ventas,bajo,Si
394,0.11,0.93,6,282,4,0,0,ventas,bajo,Si
395,0.42,0.56,2,133,3,0,0,ventas,bajo,Si
396,0.45,0.46,2,128,3,0,0,ventas,bajo,Si
397,0.46,0.57,2,139,3,0,0,ventas,bajo,Si
398,0.09,0.79,6,293,5,0,0,ventas,bajo,Si
399,0.87,0.83,4,265,6,0,0,ventas,bajo,Si
400,0.1,0.87,6,250,4,0,0,ventas,bajo,Si
401,0.91,1,5,251,6,0,0,ventas,bajo,Si
402,0.76,0.92,4,246,5,0,0,ventas,bajo,Si
403,0.74,1,5,275,5,0,0,ventas,bajo,Si
404,0.92,0.93,5,240,5,0,0,ventas,bajo,Si
405,0.76,0.87,5,245,5,0,0,ventas,bajo,Si
406,0.47,0.5,4,254,4,0,0,ventas,bajo,Si
407,0.73,0.99,5,241,5,0,0,ventas,bajo,Si
408,0.09,0.94,6,257,4,0,0,ventas,bajo,Si
409,0.91,0.92,4,246,5,0,0,ventas,bajo,Si
410,0.82,0.98,4,233,5,0,0,ventas,bajo,Si
411,0.28,0.45,6,218,4,0,0,contabilidad,bajo,Si
412,0.84,0.99,4,262,6,0,0,contabilidad,intermedio,Si
413,0.45,0.53,2,138,3,0,0,contabilidad,intermedio,Si
414,0.45,0.54,2,142,3,0,0,recursos_humanos,intermedio,Si
415,0.91,0.97,5,233,5,0,0,recursos_humanos,intermedio,Si
416,0.42,0.48,2,155,3,0,0,recursos_humanos,intermedio,Si
417,0.82,1,4,229,6,0,0,recursos_humanos,intermedio,Si
418,0.11,0.9,6,264,4,0,0,tecnico,intermedio,Si
419,0.42,0.53,3,199,4,0,0,tecnico,intermedio,Si
420,0.82,0.85,4,223,5,0,0,tecnico,intermedio,Si
421,0.09,0.96,6,268,4,0,0,tecnico,intermedio,Si
422,0.1,0.94,6,287,4,0,0,tecnico,intermedio,Si
423,0.86,1,5,257,5,0,0,tecnico,intermedio,Si
424,0.4,0.46,2,143,3,0,0,tecnico,alto,Si
425,0.45,0.46,2,130,3,0,0,tecnico,bajo,Si
426,0.42,0.51,2,136,3,0,0,tecnico,intermedio,Si
427,0.74,0.92,4,261,5,0,0,tecnico,intermedio,Si
428,0.55,0.6,3,180,4,0,0,tecnico,intermedio,Si
429,0.37,0.45,2,126,3,0,0,soporte,intermedio,Si
430,0.41,0.52,2,127,3,1,0,soporte,bajo,Si
431,0.89,0.65,5,195,6,0,0,soporte,bajo,Si
432,0.41,0.57,2,160,3,0,0,soporte,bajo,Si
433,0.44,0.51,2,150,3,0,0,soporte,bajo,Si
434,0.87,0.84,4,264,6,0,0,soporte,bajo,Si
435,0.1,0.84,6,309,4,0,0,soporte,bajo,Si
436,0.41,0.47,2,135,3,0,0,soporte,bajo,Si
437,0.11,0.85,6,261,4,0,0,soporte,bajo,Si
